"","X","id","pow","df"
"1",0,"DK010",202,0.93
"2",1,"DK006",-1.13,0.99
"3",2,"AM003",114,1
"4",3,"AM004",86.1,0.97
"5",4,"DK007",31.3,1
"6",5,"AR004",1670,0.81
"7",6,"AR005",244,0.87
"8",7,"OS008",254,0.81
"9",8,"GP001",27.3,0.84
"10",9,"DK009",749,1
"11",10,"AR006",909,1
"12",11,"AD006",197,0.83
"13",12,"FZ002",-296,0.84
"14",13,"FZ003",345,0.97
"15",14,"DK011",86.5,0.99
"16",15,"DK013",122,1
"17",16,"DK012",335,1
"18",17,"DM002",54.4,1
"19",18,"DM003",497,0.97
"20",19,"AM007",-83.3,0.99
"21",20,"AM006",288,0.89
"22",21,"DM006",22,0.99
"23",22,"GP002",105,1
"24",23,"OS011",136,1
"25",24,"AM008",246,1
"26",25,"FZ005",176,1
"27",26,"AM009",903,0.94
"28",27,"FZ007",105,0.85
"29",28,"AR007",214,0.86
"30",29,"DM001",204,0.71
"31",30,"OS006",204,0.14
"32",31,"LV001",203,0.5
"33",32,"AM005",140,0.62
"34",33,"DK004",115,0.54
"35",34,"DM005",115,0.17
"36",35,"FZ004",216,0.54
"37",36,"FZ006",550,0.73
"38",37,"FZ008",184,0.57
"39",38,"FZ009",-67.1,0.54
"40",39,"FZ010",599,0.18
"41",40,"FZ011",205,0.65
"42",41,"FZ013",-490,0.99
"43",42,"FZ015",122,0.16
"44",43,"FZ016",325,0.52
"45",44,"FZ017",627,1
"46",45,"FZ018",68.9,1
"47",46,"FZ019",26.6,0.73
"48",47,"FZ020",36.2,1
"49",48,"FZ021",357,0.92
"50",49,"EP002",430,0.98
"51",50,"EP003",136,0.58
"52",51,"EP004",1080,0.23
"53",52,"EP005",-1.7,0.87
"54",53,"DM008",426,1
