,id,pow,df
0,DK010,6.99E-11,0.93
1,DK006,1.25E-11,0.99
2,AM003,7.14E-11,1
3,AM004,2.27E-11,0.97
4,DK007,7.15E-11,1
5,AR004,3.12E-10,0.81
6,AR005,6.18E-11,0.87
7,OS008,9.82E-11,0.81
8,GP001,3.74E-11,0.84
9,DK009,5.87E-10,1
10,AR006,9.42E-11,1
11,AD006,2.03E-10,0.83
12,FZ002,9.27E-12,0.84
13,FZ003,1.41E-10,0.97
14,DK011,7.55E-11,0.99
15,DK013,1.45E-10,1
16,DK012,2.34E-10,1
17,DM002,2.73E-11,1
18,DM003,9.57E-11,0.97
19,AM007,1.54E-12,0.99
20,AM006,7.42E-11,0.89
21,DM006,1.93E-13,0.99
22,GP002,4.60E-11,1
23,OS011,-8.93E-11,1
24,AM008,9.62E-11,1
25,FZ005,3.17E-11,1
26,AM009,1.46E-10,0.94
27,FZ007,3.88E-11,0.85
28,AR007,5.87E-11,0.86
29,DM001,1.26E-10,0.71
30,OS006,1.26E-10,0.14
31,LV001,1.90E-10,0.5
32,AM005,2.89E-11,0.62
33,DK004,1.91E-10,0.54
34,DM005,1.91E-10,0.17
35,FZ004,1.40E-10,0.54
36,FZ006,2.78E-10,0.73
37,FZ008,-4.23E-12,0.57
38,FZ009,4.77E-12,0.54
39,FZ010,8.06E-11,0.18
40,FZ011,1.21E-10,0.65
41,FZ013,-8.98E-11,0.99
42,FZ015,7.19E-11,0.16
43,FZ016,1.40E-10,0.52
44,FZ017,2.13E-10,1
45,FZ018,2.37E-11,1
46,FZ019,2.21E-11,0.73
47,FZ020,5.52E-11,1
48,FZ021,1.20E-10,0.92
49,EP002,6.91E-11,0.98
50,EP003,1.03E-10,0.58
51,EP004,-1.04E-10,0.23
52,EP005,-3.41E-11,0.87
53,DM008,3.59E-10,1
