id,amp,df
DK010,0.001138638,0.93
DK006,0.00135321,0.99
AM003,0.003175973,1
AM004,0.001219912,0.97
DK007,0.004175353,1
AR004,0.004365845,0.81
AR005,0.003061676,0.87
OS008,0.003940063,0.81
GP001,0.002416521,0.84
DK009,0.00362103,1
AR006,-0.001473016,1
AD006,0.001460209,0.83
FZ002,0.00182253,0.84
FZ003,0.005301404,0.97
DK011,0.004824656,0.99
DK013,0.001275038,1
DK012,0.006850982,1
DM002,0.000670049,1
DM003,0.00893533,0.97
AM007,0.001159832,0.99
AM006,0.000696053,0.89
DM006,0.000680918,0.99
GP002,-0.000412974,1
OS011,0.002129118,1
AM008,0.000788057,1
FZ005,0.002698813,1
AM009,0.008854439,0.94
FZ007,0.002794918,0.85
AR007,0.003802939,0.86
DM001,0.000184727,0.71
OS006,0.000184727,0.14
LV001,0.00321349,0.5
AM005,0.00413541,0.62
DK004,0.000726478,0.54
DM005,0.000726478,0.17
FZ004,-0.001409465,0.54
FZ006,0.004431264,0.73
FZ008,0.002300365,0.57
FZ009,0.003509726,0.54
FZ010,0.01440962,0.18
FZ011,0.002213574,0.65
FZ013,0.005648985,0.99
FZ015,0.010370386,0.16
FZ016,-9.27E-06,0.52
FZ017,0.002479889,1
FZ018,0.002092097,1
FZ019,0.002871,0.73
FZ020,0.002283069,1
FZ021,0.006638186,0.92
EP002,0.004490619,0.98
EP003,0.003491071,0.58
EP004,0.012125672,0.23
EP005,0.001762066,0.87
DM008,0.004405311,1
